Date : 2022-03-18 14:21:26
Directory : d:\VScodeWorkspace\newJavaProject
Total : 104 files,  2647 codes, 1638 comments, 517 blanks, all 4802 lines

Languages
+----------------------+------------+------------+------------+------------+------------+
| language             | files      | code       | comment    | blank      | total      |
+----------------------+------------+------------+------------+------------+------------+
| Java                 |         89 |      2,350 |      1,638 |        517 |      4,505 |
| XML                  |         14 |        279 |          0 |          0 |        279 |
| source.markdown.math |          1 |         18 |          0 |          0 |         18 |
+----------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\VScodeWorkspace\newJavaProject\day11\src\com\experience\day13\java4\PersonTest.java                              | Java                 |         11 |         32 |          2 |         45 |
| d:\VScodeWorkspace\newJavaProject\day11\src\com\experience\day13\java4\Student.java                                 | Java                 |         21 |         22 |          4 |         47 |
| d:\VScodeWorkspace\newJavaProject\day11\src\com\experience\day13\java5\Order.java                                   | Java                 |         31 |         13 |          2 |         46 |
| d:\VScodeWorkspace\newJavaProject\day11\src\com\experience\day13\java5\OrderTest.java                               | Java                 |         12 |         16 |          2 |         30 |
| d:\VScodeWorkspace\newJavaProject\day11\src\com\experience\day13\java6\OrderTest.java                               | Java                 |          9 |         16 |          3 |         28 |
| d:\VScodeWorkspace\newJavaProject\day11\src\com\experience\day13\java6\SubOrder.java                                | Java                 |         10 |         15 |          3 |         28 |
| d:\VScodeWorkspace\newJavaProject\day11\src\com\experience\day13\java7\Person.java                                  | Java                 |         22 |         13 |          7 |         42 |
| d:\VScodeWorkspace\newJavaProject\day11\src\com\experience\day13\java7\Student.java                                 | Java                 |         27 |         14 |          8 |         49 |
| d:\VScodeWorkspace\newJavaProject\day11\src\com\experience\day13\java7\SuperTest.java                               | Java                 |         13 |         28 |          2 |         43 |
| d:\VScodeWorkspace\newJavaProject\day12\day12.iml                                                                   | XML                  |         11 |          0 |          0 |         11 |
| d:\VScodeWorkspace\newJavaProject\day12\src\com\experience\day12\java1\AnimalTest.java                              | Java                 |         36 |         14 |          9 |         59 |
| d:\VScodeWorkspace\newJavaProject\day12\src\com\experience\day12\java1\Man.java                                     | Java                 |         14 |         13 |          2 |         29 |
| d:\VScodeWorkspace\newJavaProject\day12\src\com\experience\day12\java1\Person.java                                  | Java                 |         12 |         13 |          2 |         27 |
| d:\VScodeWorkspace\newJavaProject\day12\src\com\experience\day12\java1\PersonTest.java                              | Java                 |         17 |         28 |          3 |         48 |
| d:\VScodeWorkspace\newJavaProject\day12\src\com\experience\day12\java1\Woman.java                                   | Java                 |         13 |         13 |          2 |         28 |
| d:\VScodeWorkspace\newJavaProject\day13\day13.iml                                                                   | XML                  |         11 |          0 |          0 |         11 |
| d:\VScodeWorkspace\newJavaProject\day13\src\com\experience\day13\java1\AnimalTest.java                              | Java                 |         36 |         14 |          9 |         59 |
| d:\VScodeWorkspace\newJavaProject\day13\src\com\experience\day13\java1\Man.java                                     | Java                 |         14 |         13 |          2 |         29 |
| d:\VScodeWorkspace\newJavaProject\day13\src\com\experience\day13\java1\Person.java                                  | Java                 |         12 |         13 |          2 |         27 |
| d:\VScodeWorkspace\newJavaProject\day13\src\com\experience\day13\java1\PersonTest.java                              | Java                 |         33 |         56 |          5 |         94 |
| d:\VScodeWorkspace\newJavaProject\day13\src\com\experience\day13\java1\Woman.java                                   | Java                 |         13 |         13 |          2 |         28 |
| d:\VScodeWorkspace\newJavaProject\day13\src\com\experience\day13\java2\FieldMethodTest.java                         | Java                 |         24 |         13 |          6 |         43 |
| d:\VScodeWorkspace\newJavaProject\day13\src\com\experience\day13\java2\InstanceTest.java                            | Java                 |         39 |         40 |         19 |         98 |
| d:\VScodeWorkspace\newJavaProject\day13\src\com\experience\day13\java3\com\experience\day13\java3\Customer.class    | Java                 |         18 |          0 |          0 |         18 |
| d:\VScodeWorkspace\newJavaProject\day13\src\com\experience\day13\java3\com\experience\day13\java3\Customer.java     | Java                 |         45 |         38 |         12 |         95 |
| d:\VScodeWorkspace\newJavaProject\day13\src\com\experience\day13\java3\com\experience\day13\java3\EqualsTest.class  | Java                 |         26 |          0 |          0 |         26 |
| d:\VScodeWorkspace\newJavaProject\day13\src\com\experience\day13\java3\com\experience\day13\java3\EqualsTest.java   | Java                 |         30 |         48 |          6 |         84 |
| d:\VScodeWorkspace\newJavaProject\day13\src\com\experience\day13\java3\com\experience\day13\java3\MyDateTest.java   | Java                 |         55 |         28 |         13 |         96 |
| d:\VScodeWorkspace\newJavaProject\day13\src\com\experience\day13\java3\com\experience\day13\java3\ToStringTest.java | Java                 |         10 |         24 |          3 |         37 |
| d:\VScodeWorkspace\newJavaProject\day13\src\com\experience\day13\java4\JUnitTest.java                               | Java                 |         16 |         19 |          4 |         39 |
| d:\VScodeWorkspace\newJavaProject\day13\src\com\experience\day13\java4\WrapperTest.java                             | Java                 |         47 |         50 |         13 |        110 |
| d:\VScodeWorkspace\newJavaProject\day13\src\com\experience\day13\test.java                                          | Java                 |          3 |         13 |          2 |         18 |
| d:\VScodeWorkspace\newJavaProject\myproject\myproject.iml                                                           | XML                  |         11 |          0 |          0 |         11 |
| d:\VScodeWorkspace\newJavaProject\myproject\src\com\experience\project\otherproject01\GameWin.java                  | Java                 |        123 |         77 |         11 |        211 |
| d:\VScodeWorkspace\newJavaProject\myproject\src\com\experience\project\otherproject01\obj\BgObj.java                | Java                 |         19 |         13 |          6 |         38 |
| d:\VScodeWorkspace\newJavaProject\myproject\src\com\experience\project\otherproject01\obj\BossObj.java              | Java                 |         38 |         19 |          7 |         64 |
| d:\VScodeWorkspace\newJavaProject\myproject\src\com\experience\project\otherproject01\obj\BulletObj.java            | Java                 |         26 |         16 |          6 |         48 |
| d:\VScodeWorkspace\newJavaProject\myproject\src\com\experience\project\otherproject01\obj\EnemyObj.java             | Java                 |         43 |         18 |          8 |         69 |
| d:\VScodeWorkspace\newJavaProject\myproject\src\com\experience\project\otherproject01\obj\ExplodeObj.java           | Java                 |         22 |         14 |          8 |         44 |
| d:\VScodeWorkspace\newJavaProject\myproject\src\com\experience\project\otherproject01\obj\GameObj.java              | Java                 |         81 |         21 |         25 |        127 |
| d:\VScodeWorkspace\newJavaProject\myproject\src\com\experience\project\otherproject01\obj\PlaneObj.java             | Java                 |         34 |         16 |          8 |         58 |
| d:\VScodeWorkspace\newJavaProject\myproject\src\com\experience\project\otherproject01\obj\ShellObj.java             | Java                 |         30 |         14 |          8 |         52 |
| d:\VScodeWorkspace\newJavaProject\myproject\src\com\experience\project\otherproject01\utils\GameUtils.java          | Java                 |         26 |         36 |          5 |         67 |
| d:\VScodeWorkspace\newJavaProject\myproject\src\com\experience\project\project01\bean\Customer.java                 | Java                 |         50 |         13 |         18 |         81 |
| d:\VScodeWorkspace\newJavaProject\myproject\src\com\experience\project\project01\service\CustomerList.java          | Java                 |         52 |         66 |         11 |        129 |
| d:\VScodeWorkspace\newJavaProject\myproject\src\com\experience\project\project01\ui\CustomerView.java               | Java                 |        153 |         54 |         10 |        217 |
| d:\VScodeWorkspace\newJavaProject\myproject\src\com\experience\project\project01\util\CMUtility.java                | Java                 |         90 |         37 |         10 |        137 |
| d:\VScodeWorkspace\newJavaProject\newProject.iml                                                                    | XML                  |         11 |          0 |          0 |         11 |
| d:\VScodeWorkspace\newJavaProject\src\Hello.java                                                                    | Java                 |          5 |          0 |          1 |          6 |
| Total                                                                                                               |                      |      2,647 |      1,638 |        517 |      4,802 |
+---------------------------------------------------------------------------------------------------------------------+----------------------+------------+------------+------------+------------+
